Number of Matrix	Parallel TSP cost	Parallel cycle
39	1738	0 51 80 98 8 93 72 97 49 7 77 91 89 25 45 58 4 71 82 52 12 78 33 46 13 29 86 18 26 70 38 66 64 41 42 90 63 53 24 95 34 17 65 3 22 88 40 79 21 73 85 61 62 67 92 57 84 20 9 37 6 31 43 28 76 68 5 23 15 35 69 47 1 55 87 75 11 59 19 27 2 16 39 48 54 74 14 56 83 30 50 36 10 96 81 32 60 94 44 
40	1714	1 33 79 49 26 92 78 71 54 3 6 11 83 48 66 10 75 90 51 5 61 72 19 8 15 56 53 35 34 69 50 80 40 67 96 98 38 28 97 86 89 41 81 95 14 60 12 17 9 47 59 58 0 70 85 64 84 46 73 23 77 22 36 45 7 27 20 68 32 24 39 55 62 25 16 31 2 21 87 43 42 29 52 88 18 57 94 74 63 93 13 44 76 91 37 82 30 4 65 
41	1479	0 77 13 46 15 9 90 31 17 49 62 43 53 63 98 12 47 80 82 73 39 6 40 2 66 91 19 22 83 32 36 34 33 55 60 97 56 50 72 42 67 38 35 87 58 68 51 65 44 37 76 3 95 69 41 21 14 52 20 4 10 61 23 26 28 8 81 29 18 96 16 48 74 84 30 70 24 7 75 93 11 79 59 54 71 85 25 45 27 5 92 89 64 88 57 94 86 78 1 
42	1614	0 97 93 51 15 52 53 16 87 27 28 62 67 24 78 20 50 98 82 13 39 90 35 2 64 5 18 80 71 45 14 58 32 69 36 47 76 12 8 31 41 7 63 43 22 37 66 81 11 96 34 30 89 74 10 21 86 4 17 42 72 1 60 84 44 79 33 23 88 29 70 59 77 61 54 85 75 26 48 19 38 91 55 73 65 3 57 9 46 25 68 94 92 95 6 56 49 40 83 
43	1534	0 63 26 3 75 13 80 14 27 33 92 64 18 69 17 89 59 70 42 28 5 76 85 41 30 71 16 58 51 77 1 66 78 23 20 49 91 44 88 21 52 83 86 55 11 8 81 57 56 34 4 54 96 73 50 95 15 60 12 48 35 40 98 90 22 62 37 45 72 10 53 93 94 74 36 61 24 29 9 7 43 2 65 68 47 82 87 6 38 39 31 25 79 97 67 84 46 32 19 
44	1508	0 64 35 20 82 67 90 73 72 85 94 2 93 89 28 95 49 60 41 68 77 4 31 91 74 11 80 9 29 44 70 23 27 33 7 34 12 15 48 24 25 13 42 96 81 50 76 78 19 62 30 88 14 52 32 47 16 5 37 69 55 65 98 58 87 92 17 59 84 18 40 6 38 45 75 79 51 66 53 22 46 63 36 71 61 39 54 3 57 1 83 43 56 86 10 97 8 21 26 
45	1693	0 92 73 25 29 30 76 81 19 74 67 85 21 82 62 68 75 94 87 90 77 78 33 31 98 65 66 93 13 22 37 63 9 1 34 95 44 59 86 41 32 56 36 51 15 28 38 6 83 88 79 80 46 69 71 35 10 40 14 61 91 64 45 97 7 11 24 53 16 47 48 12 96 27 50 17 43 72 60 3 55 52 8 39 49 4 5 18 54 26 57 2 20 70 89 58 23 84 42 
46	1959	3 54 92 83 85 91 34 96 19 9 43 12 31 70 47 21 82 17 11 80 78 39 4 61 42 38 35 63 64 94 40 97 48 28 22 27 60 72 18 88 14 5 65 62 71 30 10 81 98 95 41 86 49 7 26 8 75 73 44 90 68 0 13 66 25 53 2 45 59 74 46 16 77 1 23 51 69 37 15 57 29 89 56 6 67 79 52 55 84 93 58 32 87 50 20 24 33 76 36 
47	1758	1 67 63 29 75 89 94 7 77 6 52 81 32 71 21 97 82 28 30 80 66 44 18 70 79 92 78 59 13 15 37 19 22 50 3 98 57 58 87 76 5 86 11 12 69 39 48 38 17 42 35 68 45 84 26 91 24 8 23 51 0 64 56 2 60 10 55 88 36 73 41 4 20 85 40 96 95 72 43 62 49 83 46 34 47 61 27 25 16 53 54 9 14 74 33 90 65 31 93 
48	1565	0 71 64 12 81 41 87 43 19 63 77 91 84 14 21 56 9 86 18 89 31 50 69 80 58 72 17 54 35 33 39 20 67 16 4 59 52 95 38 75 82 47 90 11 6 29 66 10 28 65 78 70 96 42 98 24 2 36 76 49 37 60 46 26 34 23 15 92 94 74 40 53 27 93 55 61 3 83 25 44 32 5 97 7 30 73 85 51 8 57 79 1 88 48 45 22 13 62 68 
